"","Street.Name","From","To","Block","Ward","Overall","Crack","Patch","Length","Width","Date.R8d","DLO","P","O.L","Flush_Oil","Class","Pvmt"
"739","Colvin St., W.","Columbia","Wellesley","1900","12",3,2,3,343,34,"3/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"740","Commonwealth Ave","Washington Sq.","Carbon","100","1",6,3,3,211,11,"4/14","1993","",NA,"O","Local","No Base 3 Asphalt"
"741","Comstock Ave","E. Genesee","Madison","100","16",5,3,3,615,27,"4/14","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"742","Comstock Ave.","Madison","Harrison","200","16",4,3,2,378,30,"4/14","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"743","Comstock Ave.","Harrison","Adams","300","16",5,3,2,591,30,"5/15","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"744","Comstock Ave.","Adams","Marshall","400","16",5,3,3,380,30,"5/15","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"745","Comstock Ave.","Marshall","Waverly","500","16",5,3,3,407,30,"5/15","1998","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"746","Comstock Ave.","Waverly","University Pl.","600","16",6,3,3,385,42,"5/15","1980","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"747","Comstock Ave.","University Pl.","Euclid","700","16",6,3,3,1227,42,"5/15","1980","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"748","Comstock Ave.","Euclid","Stratford","800","16",5,3,2,848,36,"4/14","2001","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"749","Comstock Ave.","Stratford","Colvin","900","19",5,3,2,3617,36,"5/14","2001","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"750","Comstock Ave.","Colvin","Vincent","1100","19",6,4,2,810,36,"3/15","1998","",NA,"F","Collector","No Base 3 Asphalt"
"751","Comstock Ave.","Vincent","Thurber","1300","19",6,4,2,885,29,"3/15","1998","",NA,"O","Collector","No Base Full Asphalt"
"752","Comstock Ave.","Thurber","Butler","1400","19",7,4,2,370,29,"3/15","1998","1983",NA,"O","Collector","No Base Full Asphalt"
"753","Comstock Ave.","Butler","Jamesville","1500","19",6,3,3,903,29,"3/15","1998","1983",NA,"O","Collector","No Base Full Asphalt"
"754","Comstock Pl","Comstock","Ostrom Av","100","16",7,3,4,432,26,"4/14","1995","",NA,"O","Local","Base and Curbs"
"755","Comstock Pl","Ostrom Av","Beech","200","16",7,3,4,459,26,"4/14","1980","",NA,"O","Local","Base and Curbs"
"756","Conan St","Rill","Ballantyne","100","13",5,3,2,483,23,"4/15","1980","",NA,"O","Local","Base and Curbs"
"757","Concord Pl","Wescott","Allen","100","17",9,5,5,739,34,"5/14","2011","1993",NA,"F","Local","No Base 3 Asphalt"
"758","Congress Ave","Grace","Kellogg","100","10",6,3,3,285,32,"4/14","1980","",NA,"O","Local","Base and Curbs"
"759","Congress Ave.","Kellogg","Holland","200","10",6,3,4,366,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"760","Conifer Dr","S. Salina","dead end","100200","14",5,3,1,1383,28,"6/15","1980","",NA,"O","Local","Base and Curbs"
"761","Conklin St","Thompson/C.L.","Glencove","100","5",5,2,4,334,25,"4/14","1989","",NA,"O","Local","Base and Curbs"
"762","Conklin St","Glencove","Caleb","200","5",6,3,3,557,25,"4/14","2002","",NA,"O","Local","Base and Curbs"
"763","Cook Ave.","James","Melrose","100","5",7,3,4,924,27,"4/14","2000","1987",NA,"F","Local","No Base 3 Asphalt"
"764","Coolidge Ave","Tallman","Bellevue","100","12",5,3,2,843,30,"3/14","1983","",NA,"F","Local","No Base 3 Asphalt"
"765","Coolidge Ave","Bellevue","Sterling","200","12",5,3,2,627,30,"3/14","1983","",NA,"F","Local","No Base 3 Asphalt"
"766","Coolidge Ave","Sterling","Cheney","300","12",5,3,2,585,30,"3/15","1983","",NA,"F","Local","No Base 3 Asphalt"
"767","Coral Ave","Ballantyne","Morey","100","13",6,3,4,381,23,"6/14","1989","",NA,"O","Local","Base and Curbs"
"768","Coral Ave","Morey","Pacific","200","13",6,3,3,249,23,"6/14","1980","",NA,"O","Local","Base and Curbs"
"769","Cordova St","Stevens","Springbrook","100","14",6,2,5,484,23,"5/14","2000","1989",NA,"O","Local","Base and Curbs"
"770","Cornell Ave","dead end","Mitchell","100","13",4,2,4,626,27,"6/14","1980","",NA,"O","Local","Base and Curbs"
"771","Corning Ave E","S. Salina","dead end","100","14",9,5,5,264,27,"5/14","2003","",NA,"F","Local","No Base 3 Asphalt"
"772","Corning Ave W","S. Salina","Cannon","100","14",5,3,2,969,28,"6/15","2000","",NA,"O","Local","Base and Curbs"
"773","Corning Ave W","Cannon","Midland","200","14",6,3,3,717,28,"6/15","1980","",NA,"O","Local","Base and Curbs"
"774","Cortland Ave E","S. Salina","Tallman","100","18",7,3,4,600,34,"5/14","1989","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"775","Cortland Ave E","Tallman","Oxford","200","18",10,5,5,973,34,"10/13","2013","1989",NA,"F","Minor Arterial","No Base 3 Asphalt"
"776","Cortland Ave E","Oxford","Castle","300","18",5,3,2,845,34,"5/14","1989","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"777","Cortland Ave E","Castle","Midland","400","18",5,3,2,216,34,"5/14","1989","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"778","Cortland Ave W","Ballard","Midland","100","12",5,3,2,741,30,"3/15","2002","1996",NA,"F","Minor Arterial","No Base 3 Asphalt"
"779","Cortland Ave W","Dearborn","Ballard","200","12",6,4,2,315,30,"3/15","1996","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"780","Cortland Ave W","South","Dearborn","300","12",6,3,3,408,30,"3/15","1996","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"781","Cortland Pl","Valley","Milburn","100","13",6,3,3,764,24,"6/14","1980","",NA,"O","Local","Base and Curbs"
"782","Cossitt St","Academy Pl.","Valley Dr.","100","13",7,3,5,292,26,"4/15","1980","",NA,"O","Local","Base and Curbs"
"783","Coughlin Ave.","Fobes","Lillian","100","4",6,4,4,213,27,"5/15","2004","",NA,"O","Local","Base and Curbs"
"784","Coughlin Ave.","Lillian","Norwood","200","4",5,3,2,246,27,"1//1","2004","",NA,"O","Local","Base and Curbs"
"785","Coughlin Ave.","Norwood","Ashdale","300","4",6,3,3,288,27,"5/15","1980","",NA,"O","Local","Base and Curbs"
"786","Coughlin Ave.","Ashdale","N. Collingwood","400","4",6,3,5,285,27,"5/15","1980","",NA,"O","Local","Base and Curbs"
"787","Coughlin Ave.","N. Collingwood","N. Edwards","500","4",7,4,5,279,27,"5/15","1980","",NA,"O","Local","Base and Curbs"
"788","Coughlin Ave.","N. Edwards","N. Midler","600","4",6,3,3,262,27,"5/15","2004","",NA,"O","Local","Base and Curbs"
"789","Coughlin Ave.","N. Midler","Rigi","700","4",7,3,5,364,27,"5/15","2004","",NA,"O","Local","Base and Curbs"
"790","Coughlin Ave.","Rigi","Colby","800","4",5,3,3,343,27,"5/15","1980","",NA,"O","Local","Base and Curbs"
"791","Court St","Sunset","Lodi","100","2",6,3,3,350,34,"4/14","1989","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"792","Court St","Lodi","N. Salina","200","2",7,4,3,470,34,"4/14","1989","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"793","Court St","N. Salina","Park","300","1",7,4,4,500,34,"4/15","1989","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"794","Court St","Park","Carbon","400","1",7,4,4,485,34,"4/15","2004","1990",NA,"F","Minor Arterial","No Base 3 Asphalt"
"795","Court St","Carbon","Spring","500","1",7,4,4,500,34,"4/15","2004","1990",NA,"F","Minor Arterial","No Base 3 Asphalt"
"796","Court St","Spring","1st North","600","1",7,4,4,510,34,"4/15","2004","1990",NA,"F","Minor Arterial","No Base 3 Asphalt"
"797","Court St","1st North","2nd North","700","1",7,4,4,505,34,"4/15","2004","1990",NA,"F","Minor Arterial","No Base 3 Asphalt"
"798","Court St","2nd North","Court Terr.","800","1",7,4,3,410,34,"4/15","2004","1990",NA,"F","Minor Arterial","No Base 3 Asphalt"
"799","Court St","Court Terr.","Grant Blvd","900","1",7,4,4,235,34,"4/15","2004","1990",NA,"F","Minor Arterial","No Base 3 Asphalt"
"800","Court St","Grant Blvd","Brace","900","1",8,4,5,175,35,"4/15","2006","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"801","Court St","Brace","Burdick","1000","1",8,4,5,380,35,"4/15","2006","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"802","Court St","Burdick","Willumae","1100","1",8,4,5,500,35,"4/15","2006","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"803","Court St","Willumae","7th North","1200","1",5,2,3,380,35,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"804","Court St","7th North","Ross Park","1300","1",6,3,3,375,36,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"805","Court St","Ross Park","Dale","1400","1",6,3,3,375,36,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"806","Court St","Dale","Kuhl","1500","1",6,3,3,350,37,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"807","Court St","Kuhl","Loma","1600","1",6,3,4,295,37,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"808","Court St","Loma","Malverne","1700","1",6,3,3,305,37,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"809","Court St","Malverne","Wadsworth","1800","1",6,4,3,300,37,"4/15","2000","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"810","Court St","Wadsworth","Harding","1900","1",8,5,4,290,36,"4/14","2003","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"811","Court St","Harding","Maplehurst","2000","1",8,5,4,280,36,"4/14","2003","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"812","Court St","Maplehurst","Darlington","2100","1",8,4,5,265,36,"4/14","2003","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"813","Court St","Darlington","City Line","2200","1",8,4,5,465,36,"4/14","2003","1993",NA,"F","Minor Arterial","No Base 3 Asphalt"
"814","Court St., W.","Sunset","Genant","100","2",8,4,5,500,36,"4/14","1980","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"815","Court St., W.","Genant","N. Clinton","200","2",4,2,2,470,36,"4/14","1980","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"816","Court St., W.","N. Clinton","Solar","300","2",7,4,5,675,36,"4/14","1980","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"817","Court St., W.","Solar","Kirkpatrick","400","2",7,3,5,440,36,"4/14","1980","",NA,"F","Minor Arterial","No Base 3 Asphalt"
"818","Court Terrace","Turtle","Danforth","100","1",6,3,3,739,18,"4/14","2006","1989",NA,"F","Local","No Base 3 Asphalt"
"819","Cowie St.","Taft","North","100","4",6,3,4,250,25,"4/14","1997","1985",NA,"O","Local","Base and Curbs"
"820","Cowie St.","North","Hazelhurst","200","4",6,3,4,214,25,"4/14","1997","1985",NA,"O","Local","Base and Curbs"
"821","Coykendall Ave","Chemung","dead end","100","7",6,3,3,317,21,"4/15","1990","",NA,"O","Local","Base and Curbs"
"822","Coyne Cir.","Tallman","dead end","100","18",7,4,5,106,27,"4/15","1980","",NA,"F","Local","No Base 3 Asphalt"
"823","Craddock St","W. Colvin","Annetta","100","13",7,4,3,350,25,"4/15","2004","",NA,"F","Local","No Base 3 Asphalt"
"824","Craddock St","Annetta","Charmouth","200","13",7,4,4,295,25,"4/15","2004","",NA,"F","Local","No Base 3 Asphalt"
"825","Craddock St","Charmouth","Hillview","300","13",7,4,4,300,25,"4/15","2004","",NA,"F","Local","No Base 3 Asphalt"
"826","Craddock St","Hillview","Glenwood","400","13",7,3,4,355,25,"4/15","2004","",NA,"F","Local","No Base 3 Asphalt"
"827","Crafton Ave","Valley Dr.","Academy Pl.","100","13",6,2,3,285,26,"4/15","1980","",NA,"O","Local","Base and Curbs"
"828","Crafton Ave","Academy Pl.","dead end","200","13",6,2,4,255,26,"4/15","1980","",NA,"O","Local","Base and Curbs"
"829","Craig St","1st North","Griffiths","100","3",6,3,3,350,27,"4/14","1989","",NA,"O","Local","Base and Curbs"
"830","Craig St","Griffiths","High","200","3",8,4,4,295,27,"4/14","1989","",NA,"O","Local","Base and Curbs"
"831","Craig St","High","Becker","300","3",8,4,5,380,27,"4/15","2006","1989",NA,"O","Local","Base and Curbs"
"832","Craig St","Becker","Warham","400","3",5,3,2,310,27,"4/14","1989","",NA,"O","Local","Base and Curbs"
"833","Craig St","Warham","Grant Blvd.","500","3",5,3,4,405,27,"4/14","1993","",NA,"O","Local","Base and Curbs"
"834","Craton St","Sherwood","Winton","100","6",7,3,5,425,28,"4/14","2005","",NA,"F","Local","No Base 3 Asphalt"
"835","Craton St","Winton","Teall","200","6",8,4,5,390,28,"4/14","2005","",NA,"F","Local","No Base 3 Asphalt"
"836","Crawford Ave","Scottholm Terr.","Scott","100","17",6,3,3,687,28,"6/15","1992","",NA,"F","Local","No Base 3 Asphalt"
"837","Crawford Ave","Scott","Sunnyside Rd.","200","17",5,3,3,665,28,"6/15","1980","",NA,"F","Local","No Base 3 Asphalt"
"838","Crawford Ave.","Sunnyside Rd.","Meadowbrook","300","17",5,2,3,491,28,"6/15","1980","",NA,"F","Local","No Base 3 Asphalt"
"839","Crawford Ave.","Meadowbrook","Mineola Dr.","400","17",6,3,4,624,28,"5/14","2008","",NA,"O","Local","No Base 3 Asphalt"
"840","Crawford Ave.","Mineola Dr.","Euclid Ave.","500","17",8,4,5,420,28,"5/14","1980","",NA,"O","Local","No Base 3 Asphalt"
"841","Crawford Ave.","Euclid Ave.","Montana","600","17",6,3,4,313,28,"5/14","1992","",NA,"O","Local","No Base 3 Asphalt"
"842","Crawford Ave.","Montana","Sherbourne","700","17",6,3,4,940,29,"5/14","1997","",NA,"O","Local","Base and Curbs"
"843","Crawford Ave.","Sherbourne","Broad St.","800","17",5,3,4,539,29,"5/14","1997","",NA,"O","Local","Base and Curbs"
"844","Crawford Ave.","Broad St.","City Line","900","17",6,3,4,554,29,"5/14","1997","",NA,"O","Local","Base and Curbs"
"845","Crehange St","Hatch","Kirk Park Dr.","100","19",6,3,5,528,20,"5/14","1994","",NA,"O","Local","Base and Curbs"
"846","Crescent Ave","South","W. Kennedy","100","12",8,4,5,500,32,"3/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"847","Crescent Ave","W. Kennedy","dead end","200","12",2,2,1,480,32,"3/14","1980","",NA,"O","Local","No Base 3 Asphalt"
"848","Crestline Dr","Sunnycrest","Plymouth","100","5",6,2,4,792,18,"4/15","2002","1988",NA,"O","Local","Base and Curbs"
"849","Crestview Dr","dead end","Riverdale","100","13",6,3,4,923,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"850","Crestview Dr","Riverdale","Merritt","200","13",7,3,4,323,28,"4/15","1980","",NA,"O","Local","Base and Curbs"
"851","Crestview Terrace","Myrtle","City Line","100","7",7,3,5,110,20,"4/15","1980","",NA,"O","Local","Base and Curbs"
"852","Crippen Ave","S. Salina","Crippen Pl.","100","14",6,3,4,422,26,"6/15","1980","",NA,"O","Local","Base and Curbs"
"853","Crippen Pl","Crippen Av.","dead end","100","14",4,3,1,242,30,"6/15","1980","",NA,"O","Local","Base and Curbs"
"854","Croly St","Dakin","E. Fayette","100","17",6,2,3,830,35,"6/15","1992","",NA,"F","Local","No Base 3 Asphalt"
"855","Croly St.","E. Fayette","E. Genesee","200","17",2,1,1,1232,30,"6/15","1980","",NA,"F","Local","No Base 3 Asphalt"
"856","Crossett St","Summit","Beverly","100","12",6,3,3,513,25,"3/14","2001","",NA,"F","Local","Base and Curbs"
"857","Crossett St","Beverly","Clairmonte","200","12",8,4,5,411,25,"3/14","2001","",NA,"F","Local","No Base 3 Asphalt"
"858","Crossett St","Clairmonte","Hubbell","300","12",7,4,2,343,25,"3/14","2001","",NA,"F","Local","No Base 3 Asphalt"
"859","Crossett St","Hubbell","Roberts","400","12",6,3,3,410,25,"3/14","2001","",NA,"F","Local","No Base 3 Asphalt"
"860","Crossett St","Roberts","Robineau","500","12",7,3,4,293,25,"3/14","2001","",NA,"F","Local","No Base 3 Asphalt"
"861","Crossett St","Robineau","Stinard","600","12",7,4,4,264,25,"3/14","2001","",NA,"F","Local","No Base 3 Asphalt"
"862","Crossett St","Stinard","S. Geddes","700","11",8,4,5,337,25,"4/14","2001","",NA,"F","Local","No Base 3 Asphalt"
"863","Crouse Ave., N.","Erie Blvd","Burnet","100","6",2,1,2,440,32,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"864","Crouse Ave., N.","Burnet","Hawley","200","6",3,2,2,422,32,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"865","Crouse Ave., N.","Hawley","Lodi","300","6",3,2,3,323,32,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"866","Crouse Ave., S.","Erie Blvd.","Water","100","15",4,2,3,183,36,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"867","Crouse Ave., S.","Water","E. Fayette","200","15",6,3,4,331,36,"4/14","2004","1991",NA,"F","Local","No Base 3 Asphalt"
"868","Crouse Ave., S.","E. Fayette","E. Genesee","300","15",7,4,4,628,36,"4/14","2004","",NA,"F","Local","No Base 3 Asphalt"
"869","Crouse Ave., S.","E. Genesee","Madison","400","15",5,3,2,493,36,"4/14","1980","",NA,"F","Collector","No Base 3 Asphalt"
"870","Crouse Ave., S.","Madison","Harrison","500","15",5,3,3,455,36,"4/14","1980","",NA,"F","Collector","No Base 3 Asphalt"
"871","Crouse Ave., S.","Harrison","Adams","600","15",5,3,2,572,36,"4/14","1980","",NA,"F","Collector","No Base 3 Asphalt"
"872","Crouse Ave., S.","Adams","Marshall","700","16",4,3,1,381,36,"4/14","1980","",NA,"F","Collector","No Base 3 Asphalt"
"873","Crouse Ave., S.","Marshall","Waverly","800","16",5,3,2,405,36,"4/14","1980","",NA,"F","Collector","No Base 3 Asphalt"
"874","Croyden Rd","Sherbourne","Broad St.","100","17",7,4,4,469,27,"5/14","1988","",NA,"O","Local","Base and Curbs"
"875","Croyden Rd","Broad St.","City Line","200","17",6,3,3,500,27,"5/14","1988","",NA,"O","Local","Base and Curbs"
"876","Crysler St","Tompkins","dead end","100","8",6,3,4,175,16,"6/14","1980","",NA,"O","Local","Base and Curbs"
"877","Culbert St","1st North","Grant Blvd.","100","1",6,3,4,1478,33,"4/15","2002","",NA,"O","Local","Base and Curbs"
"878","Culver Dr","S. Glencove","N. Glencove","100","5",7,3,5,295,23,"4/14","1997","",NA,"O","Local","Base and Curbs"
"879","Culver Dr","N. Glencove","Winthrop","200","5",7,3,5,290,23,"4/15","1997","",NA,"O","Local","Base and Curbs"
"880","Culver Dr.","Winthrop","Roxbury","300","5",7,3,5,290,23,"4/15","2002","1997",NA,"O","Local","Base and Curbs"
"881","Cumberland Ave","E. Genesee","dead end","100","17",3,1,2,581,27,"5/14","1997","",NA,"F","Local","Base and Curbs"
"882","Cumberland Ave","Euclid Ave.","north to dead end","400","17",6,2,5,120,27,"5/14","1997","",NA,"O","Local","Base and Curbs"
"883","Cumberland Ave","Euclid Ave.","Montana","500","17",5,2,3,580,27,"5/14","2001","1990",NA,"O","Local","Base and Curbs"
"884","Cumberland Ave.","Montana","Dakota","600","17",5,2,4,650,29,"5/14","1992","",NA,"O","Local","Base and Curbs"
"885","Cumberland Ave.","Broad St.","Spaid","900","19",5,3,2,545,26,"5/14","1980","",NA,"O","Local","Base and Curbs"
"886","Cumberland Ave.","Spaid","Tecumseh","1000","19",6,3,4,790,26,"5/14","1980","",NA,"O","Local","Base and Curbs"
"887","Cumberland Ave.","Tecumseh","Sherman","1100","19",5,3,4,500,26,"5/14","1980","",NA,"O","Local","Base and Curbs"
"888","Cumberland Ave.","Sherman","Lewiston","1200","19",6,3,4,820,26,"5/14","1980","",NA,"O","Local","Base and Curbs"
"889","Cumberland Ave.","Lewiston","Colvin","1300","19",6,4,2,425,26,"5/14","1980","",NA,"O","Local","Base and Curbs"
"890","Cumberland Ave.","Colvin","dead end","1400","19",4,2,3,425,26,"5/14","1994","",NA,"O","Local","Base and Curbs"
"891","Cumberland Pl","Dakota","Meadowbrook","100","17",6,3,4,290,27,"5/14","1997","",NA,"O","Local","Base and Curbs"
"892","Cumberland Pl","Meadowbrook","Nottingham","200","17",8,4,5,410,27,"1.02","1997","",NA,"O","Local","Base and Curbs"
"893","Cummings Ave","N. Salina","Lodi","100","2",4,2,3,422,16,"4/14","1980","",NA,"O","Local","Base and Curbs"
"894","Curtis St","Carbon","Spring","100","3",7,3,4,340,27,"4/15","2002","",NA,"O","Local","Base and Curbs"
"895","Curtis St","Spring","Gilbert","200","3",6,3,5,350,27,"4/15","2002","",NA,"O","Local","Base and Curbs"
"896","Curtis St","Gilbert","1st North","300","3",8,3,4,335,27,"4/15","2002","",NA,"O","Local","Base and Curbs"
"897","Daisy St","South","dead end","100","12",6,4,3,528,NA,"3/11","1988","",NA,"F","Local","No Base 3 Asphalt"
"898","Dakin St","Westmoreland","Croly","100","17",5,3,3,570,30,"6/15","1980","",NA,"F","Local","No Base 3 Asphalt"
"899","Dakin St.","Croly","Bruce","200","17",6,3,4,295,27,"6/15","1989","",NA,"O","Local","Base and Curbs"
"900","Dakin St.","Bruce","Fenway","300","17",5,3,4,285,27,"6/15","1989","",NA,"O","Local","Base and Curbs"
"901","Dakin St.","Fenway","Gen. Park Dr.","400","17",5,3,4,315,27,"6/15","1989","",NA,"O","Local","Base and Curbs"
"902","Dakin St.","Gen. Park Dr.","Beattie","500","17",6,3,4,325,27,"6/15","2004","1989",NA,"O","Local","Base and Curbs"
"903","Dakota St","Miles","Fellows","100","17",5,2,3,355,32,"5/14","1992","",NA,"O","Local","Base and Curbs"
"904","Dakota St","Fellows","Westmoreland","200","17",6,3,4,325,32,"5/14","1980","",NA,"O","Local","Base and Curbs"
"905","Dakota St","Westmoreland","Cumberland","300","17",6,3,4,320,32,"5/14","1980","",NA,"O","Local","Base and Curbs"
"906","Dakota St","Cumberland","Meadowbrook","400","17",6,3,4,265,32,"5/14","1980","",NA,"O","Local","Base and Curbs"
"907","Dale St","Butternut","Hillside","100","3",7,4,3,515,27,"4/15","2006","",NA,"F","Local","No Base 3 Asphalt"
"908","Dale St","Hillside","Court","200","3",5,3,2,1055,27,"4/15","2004","",NA,"F","Local","No Base 3 Asphalt"
"909","Danforth St","Sunset","Lodi","200","2",4,2,2,330,30,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"910","Danforth St","Lodi","Salina","300","2",4,2,3,204,30,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"911","Danforth St","Salina","Alvord","400","2",5,2,3,232,30,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"912","Danforth St","Alvord","Park St.","500","1",3,1,4,504,30,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"913","Danforth St","Park St.","Carbon","600","1",7,4,3,462,30,"4/14","2009","",NA,"F","Local","No Base 3 Asphalt"
"914","Danforth St","Carbon","Spring","700","1",8,4,5,990,30,"4/14","2009","",NA,"F","Local","No Base 3 Asphalt"
"915","Danforth St","Spring","1st North","800","1",8,4,5,539,30,"4/14","2009","",NA,"F","Local","No Base 3 Asphalt"
"916","Danforth St","1st North","2nd North","900","1",8,4,5,465,30,"4/14","2006","",NA,"F","Local","No Base 3 Asphalt"
"917","Danforth St","2nd North","Court Terr.","1000","1",8,4,5,432,30,"4/14","2006","",NA,"F","Local","No Base 3 Asphalt"
"918","Danforth St","Court Terr.","Grant Blvd.","1100","1",8,4,5,312,30,"4/14","2006","",NA,"F","Local","No Base 3 Asphalt"
"919","Darlington Rd","Grant","Listman","100","3",6,3,3,867,30,"4/14","1980","",NA,"O","Local","Base and Curbs"
"920","Darlington Rd","Listman","Berkshire","200","3",7,4,3,375,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"921","Darlington Rd","Berkshire","Briggs","300","3",6,3,4,500,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"922","Darlington Rd","Briggs","Huntley","400","3",7,4,3,275,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"923","Darlington Rd","Huntley","Orwood","500","3",6,3,4,744,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"924","Darlington Rd","Orwood","Hillside","700","3",7,4,3,285,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"925","Darlington Rd","Hillside","Wilmore","800","3",5,3,4,401,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"926","Darlington Rd","Wilmore","Court","900","3",7,3,4,343,NA,"4/14","1980","",NA,"O","Local","Base and Curbs"
"927","Davis St","Sabine","Barrett","100","10",8,4,5,750,30,"4/14","2011","",NA,"F","Local","No Base 3 Asphalt"
"928","Davis St","Barrett","Delaware/Geddes","200","10",7,4,3,800,30,"4/14","2003","",NA,"F","Local","No Base 3 Asphalt"
"929","Dawes Ave","S. Salina","Slayton","100","14",7,3,5,990,26,"5/14","2003","",NA,"O","Local","Base and Curbs"
"930","Dawes Ave","Slayton","dead end","200","14",7,3,5,207,26,"5/14","2003","",NA,"O","Local","Base and Curbs"
"931","De Long Ave","1st North","dead end","100","1",6,3,3,792,26,"4/15","2002","1989",NA,"O","Local","Base and Curbs"
"932","De Palma Ave","Grand Av","dead end","100","11",4,3,2,317,23,"4/14","1980","",NA,"O","Local","Base and Curbs"
"933","Dearborn Pl","W. Castle","Cortland","100","12",3,2,2,581,25,"3/15","1980","",NA,"F","Local","No Base 3 Asphalt"
"934","Decker St","Burnet","Brown","100","9",7,4,4,158,16,"4/15","1980","",NA,"O","Local","Base and Curbs"
"935","Deforest Rd.","dead end","Genesee St.","200","17",5,3,3,686,27,"5/14","1996","",NA,"O","Local","Base and Curbs"
"936","Deforest Rd.","Genesee St.","Hillsboro Pkwy","300","17",5,2,3,870,28,"5/14","1996","",NA,"O","Local","Base and Curbs"
"937","Delaware St","Onondaga St.","Holland","100","10",6,3,2,440,35,"4/14","1999","",NA,"F","Local","No Base 3 Asphalt"
"938","Delaware St","Holland","Kellogg","200","10",6,3,4,350,35,"4/14","1999","",NA,"F","Local","No Base 3 Asphalt"
"939","Delaware St","Kellogg","Grace","300","10",6,4,3,350,35,"4/14","1999","",NA,"F","Local","No Base 3 Asphalt"
"940","Delaware St","Grace","Sabine","400","10",6,4,3,330,35,"4/14","1999","",NA,"F","Local","No Base 3 Asphalt"
"941","Delaware St","Sabine","Geddes","500","10",5,3,2,1065,35,"4/14","1999","",NA,"F","Local","No Base 3 Asphalt"
"942","Delaware St","Geddes","Grand","600","8",5,3,3,340,35,"6/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"943","Delaware St","Grand","Wilbur","700","8",8,4,4,330,35,"6/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"944","Delhi St","Hawley","dead end","200","6",6,3,4,587,25,"4/14","1989","",NA,"O","Local","Base and Curbs"
"945","Dell St","Beech","Wescott","100","17",7,4,3,422,24,"6/15","2002","",NA,"F","Local","No Base 3 Asphalt"
"946","Delray Ave","Seeley Rd.","Ball Ave.","100","17",6,3,4,940,27,"6/15","1996","1988",NA,"O","Local","Base and Curbs"
"947","Delray Ave","Ball Ave.","Salisbury Pk.","200","17",6,3,4,675,27,"6/15","1996","1988",NA,"O","Local","Base and Curbs"
"948","Demong Dr","Salt Springs Rd.","Phillips Rd","100","17",6,3,4,325,31,"6/15","1996","",NA,"O","Local","Base and Curbs"
